Número de campo,Concepto Retención en la Fuente de Impuesto a la Renta,Porcentaje
,,
303,Honorarios profesionales y demás pagos por servicios relacionados con el título profesional,10
303A,Servicios profesionales prestados por sociedades residentes,3
304,Servicios predomina el intelecto no relacionados con el título profesional,10
304A,Comisiones y demás pagos por servicios predomina intelecto no relacionados con el título profesional,10
304B,Pagos a notarios y registradores de la propiedad y mercantil por sus actividades ejercidas como tales,10
304C,"Pagos a deportistas, entrenadores, árbitros, miembros del cuerpo técnico por sus actividades ejercidas como tales",8
304D,Pagos a artistas por sus actividades ejercidas como tales,8
304E,Honorarios y demás pagos por servicios de docencia,10
307,Servicios predomina la mano de obra,2
308,"Utilización o aprovechamiento de la imagen o renombre (personas naturales, sociedades,"" influencers"")",10
309,Servicios prestados por medios de comunicación y agencias de publicidad,2.75
310,Servicio de transporte privado de pasajeros o transporte público o privado de carga,1
311,Pagos a través de liquidación de compra (nivel cultural o rusticidad),2
312,Transferencia de bienes muebles de naturaleza corporal,1.75
312A,"COMPRAS AL PRODUCTOR: de bienes de origen bioacuático, forestal y los descritos  el art.27.1 de LRTI ",1
312C,"COMPRAS AL COMERCIALIZADOR: de bienes de origen bioacuático, forestal y los descritos  el art.27.1 de LRTI",1.75
314A,Regalías por concepto de franquicias de acuerdo al Código INGENIOS (COESCCI) - pago a personas naturales,10
314B,"Cánones, derechos de autor,  marcas, patentes y similares de acuerdo  al Código INGENIOS (COESCCI) – pago a personas naturales",10
314C,Regalías por concepto de franquicias de acuerdo al Código INGENIOS (COESCCI) - pago a sociades,10
314D,"Cánones, derechos de autor,  marcas, patentes y similares de acuerdo  al Código INGENIOS (COESCCI)  ",10
319,"Cuotas de arrendamiento mercantil (prestado por sociedades), inclusive la de opción de compra",2
320,Arrendamiento bienes inmuebles,10
322,Seguros y reaseguros (primas y cesiones),1
323,Rendimientos financieros pagados a naturales y sociedades  (No a IFIs),2
323A,Rendimientos financieros depósitos Cta. Corriente,2
323B1,Rendimientos financieros  depósitos Cta. Ahorros Sociedades,2
323E,Rendimientos financieros depósito a plazo fijo  gravados,2
323E2,Rendimientos financieros depósito a plazo fijo exentos,0
323F,Rendimientos financieros operaciones de reporto - repos,2
323G,Inversiones (captaciones) rendimientos distintos de aquellos pagados a IFIs,2
323H,Rendimientos financieros  obligaciones,2
323I,Rendimientos financieros  bonos convertible en acciones,2
323 M,Rendimientos financieros : Inversiones en títulos valores en renta fija gravados ,2
323 N,Rendimientos financieros  Inversiones en títulos valores en renta fija exentos,0
323 O,Intereses y demás rendimientos financieros pagados a bancos y otras entidades sometidas al control de la Superintendencia de Bancos y de la Economía Popular y Solidaria,0
323 P, Intereses pagados por entidades del sector público a favor de sujetos pasivos,2
323Q,Otros intereses y rendimientos financieros gravados ,2
323R,Otros intereses y rendimientos financieros exentos,0
323S,"Pagos y créditos en cuenta efectuados por el BCE y los depósitos centralizados de valores, en calidad de intermediarios, a instituciones del sistema financiero por cuenta de otras personas naturales y sociedades",2
323T,Rendimientos financieros originados en la deuda pública ecuatoriana,0
323U,Rendimientos financieros originados en títulos valores de obligaciones de 360 días o más para el financiamiento de proyectos públicos en asociación público-privada,0
324A, Intereses en operaciones de crédito entre instituciones del sistema financiero y entidades economía popular y solidaria. ,1
324B,Inversiones entre instituciones del sistema financiero y entidades economía popular y solidaria,1
324C,"Pagos y créditos en cuenta efectuados por el BCE y los depósitos centralizados de valores, en calidad de intermediarios, a instituciones del sistema financiero por cuenta de otras instituciones del sistema financiero",1
325,Anticipo dividendos,25
325A,"Préstamos accionistas, beneficiarios o partícipes residentes o establecidos en el Ecuador",25
3250,Dividendos exentos (por no llegar a franja exenta o beneficio de otras leyes),0
326,Dividendos distribuidos que correspondan al impuesto a la renta único establecido en el art. 27 de la LRTI,12 o 14
327,Dividendos distribuidos a personas naturales residentes,12 o 14
328,Dividendos distribuidos a sociedades residentes,0
329,dividendos distribuidos a fideicomisos residentes,0
331,Dividendos en acciones (capitalización de utilidades),0
332,"Otras compras de bienes y servicios no sujetas a retención (incluye régimen RIMPE - Negocios Populares, para este caso aplica con cualquier forma de pago inclusive los pagos que deban realizar las tarjetas de crédito/débito)",0
332B,Compra de bienes inmuebles,0
332C,Transporte público de pasajeros,0
332D,"Pagos en el país por transporte de pasajeros o transporte internacional de carga, a compañías nacionales o extranjeras de aviación o marítimas",0
332E,Valores entregados por las cooperativas de transporte a sus socios,0
332F,Compraventa de divisas distintas al dólar de los Estados Unidos de América,0
332G,Pagos con tarjeta de crédito ,0
332H,"Pago al exterior tarjeta de crédito reportada por la Emisora de tarjeta de crédito, solo recap",0
332I,Pago a través de convenio de debito (Clientes IFI`s),0
333,"Ganancia en la enajenación de derechos representativos de capital u otros derechos que permitan la exploración, explotación, concesión o similares de sociedades, que se coticen en bolsa de valores del Ecuador",10
334,"Contraprestación producida por la enajenación de derechos representativos de capital u otros derechos que permitan la exploración, explotación, concesión o similares de sociedades, no cotizados en bolsa de valores del Ecuador",1
335,"Loterías, rifas, pronósticos deportivos, apuestas y similares ",15
336,Venta de combustibles a comercializadoras,2/mil
337,Venta de combustibles a distribuidores,3/mil
338,Producción y venta local de banano producido o no por el mismo sujeto pasivo,1 a 2
340,Impuesto único a la exportación de banano,3
343,"Otras retenciones aplicables el 1% (incluye régimen RIMPE - Emprendedores, para este caso aplica con cualquier forma de pago inclusive los pagos que deban realizar las tarjetas de crédito/débito)",1
343A,Energía eléctrica,1
343B,"Actividades de construcción de obra material inmueble, urbanización, lotización o actividades similares",1.75
343C,Recepción de botellas plásticas no retornables de PET,2
3440,"Otras retenciones aplicables el 2,75% ",2.75
344A,Pago local tarjeta de crédito /débito reportada por la Emisora de tarjeta de crédito / entidades del sistema financiero,2
344B,Adquisición de sustancias minerales dentro del territorio nacional,2
346,Otras retenciones aplicables a otros porcentajes,varios porcentajes
346A,Otras ganancias de capital distintas de enajenación de derechos representativos de capital ,varios porcentajes
346B,Donaciones en dinero -Impuesto a las donaciones ,Conforme Art 36 LRTI literal d)
346C,Retención a cargo del propio sujeto pasivo por la producción y/o comercialización de minerales y otros bienes, 0 o 10
346D,Retención a cargo del propio sujeto pasivo por la comercialización de productos forestales, 0 o 10
350,Otras autorretenciones (inciso 1 y 2 Art.92.1 RLRTI),"1,50 o 1,75"
3480,Impuesto a la renta único sobre los ingresos percibidos por los operadores de pronósticos deportivos,15
3481,Autorretenciones Sociedades Grandes Contribuyentes,"Conforme  Nro. NAC-DGERCGC24-00000003 , del 12 de enero de 2024"
3482,"Comisiones  a sociedades, nacionales o extranjeras residentes y establecimientos permanentes domiciliados en el país",3
